"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"old_female",10931200,0.166610526251614,"two gen","inter",156,"China",2000,"EAS","AS"
"old_female",30461500,0.464286313068422,"three+ gen","inter",156,"China",2000,"EAS","AS"
"old_female",3733300,0.0569019940770592,"skipped","inter",156,"China",2000,"EAS","AS"
"old_male",4920900,0.0788973704083154,"single","inter",156,"China",2000,"EAS","AS"
"old_male",18415200,0.295253074751206,"one gen","inter",156,"China",2000,"EAS","AS"
"old_male",11516100,0.18463899029836,"two gen","inter",156,"China",2000,"EAS","AS"
"old_male",24195100,0.387922893528873,"three+ gen","inter",156,"China",2000,"EAS","AS"
"old_male",3323600,0.053287671013245,"skipped","inter",156,"China",2000,"EAS","AS"
"total",43656100,0.0369830801271125,"single","inter",156,"China",2000,"EAS","AS"
"total",124481700,0.105454144677586,"one gen","inter",156,"China",2000,"EAS","AS"
"total",681581100,0.577398540740595,"two gen","inter",156,"China",2000,"EAS","AS"
"total",307348400,0.260368894705203,"three+ gen","inter",156,"China",2000,"EAS","AS"
"total",23367100,0.0197953397495024,"skipped","inter",156,"China",2000,"EAS","AS"
"young_female",11236400,0.022015601993403,"single","inter",156,"China",2000,"EAS","AS"
"young_female",46490100,0.0910885637956556,"one gen","inter",156,"China",2000,"EAS","AS"
"young_female",317629600,0.62233516561566,"two gen","inter",156,"China",2000,"EAS","AS"
"young_female",126735500,0.248314257808099,"three+ gen","inter",156,"China",2000,"EAS","AS"
"young_female",8291900,0.0162464107871826,"skipped","inter",156,"China",2000,"EAS","AS"
"young_male",21530800,0.0397195421187679,"single","inter",156,"China",2000,"EAS","AS"
"young_male",45061100,0.083127717473016,"one gen","inter",156,"China",2000,"EAS","AS"
"young_male",341504200,0.629999370930766,"two gen","inter",156,"China",2000,"EAS","AS"
"young_male",125956300,0.232361387545942,"three+ gen","inter",156,"China",2000,"EAS","AS"
"young_male",8018300,0.0147919819315082,"skipped","inter",156,"China",2000,"EAS","AS"
"old_female",5968000,0.0909627141274179,"single","un",156,"China",2000,"EAS","AS"
"old_female",18623300,0.283851527146304,"nuclear","un",156,"China",2000,"EAS","AS"
"old_female",41018000,0.625185758726278,"extended","un",156,"China",2000,"EAS","AS"
"old_male",4920900,0.0788973704083154,"single","un",156,"China",2000,"EAS","AS"
"old_male",24889400,0.399054687362215,"nuclear","un",156,"China",2000,"EAS","AS"
"old_male",32560600,0.522047942229469,"extended","un",156,"China",2000,"EAS","AS"
"young_female",11236400,0.022015601993403,"single","un",156,"China",2000,"EAS","AS"
"young_female",321280600,0.629488610035395,"nuclear","un",156,"China",2000,"EAS","AS"
"young_female",177866500,0.348495787971202,"extended","un",156,"China",2000,"EAS","AS"
"young_male",21530800,0.0397195421187679,"single","un",156,"China",2000,"EAS","AS"
"young_male",338955300,0.625297216765267,"nuclear","un",156,"China",2000,"EAS","AS"
"young_male",181584600,0.334983241115965,"extended","un",156,"China",2000,"EAS","AS"
